year,agebis,age,late.harem.size,early.harem.size,age.last.repro,density,early.num.points,late.num.points
24,10,10,7.769230769,0.75064467,10,179,-0.783908344,4.5
25,10,10,3.555555556,4.212040832,12,183,0.549424989,5.5
25,11,11,6.466666667,-1.349711291,11,183,-0.617241678,4
25,11,11,9.9,-0.111227156,13,183,0.466091656,5
26,11,11,6,4.212040832,12,176,0.549424989,6
26,14,14,1,0.41740848,14,176,-0.388075011,4.5
26,12,12,10.41666667,-0.111227156,13,176,0.466091656,5.25
26,13,13,3.428571429,2.34278519,14,176,-0.263075011,5.5
27,12,12,1,4.212040832,12,187,0.549424989,6
27,10,10,8.333333333,1.818853253,13,187,-0.596408344,6
27,14,15,5.5,0.41740848,14,187,-0.388075011,5.5
27,10,10,8.0625,2.094390647,12,187,0.549424989,5.5
27,13,13,10.4375,-0.111227156,13,187,0.466091656,5.5
27,10,10,3,-1.746544616,14,187,-0.367241678,4.5
27,14,14,4,2.34278519,14,187,-0.263075011,5
28,11,11,5.4,1.818853253,13,198,-0.596408344,6
28,11,11,8.8,2.094390647,12,198,0.549424989,5
28,10,10,12.03571429,3.571896093,10,198,1.549424989,7
28,11,11,3.285714286,-1.746544616,14,198,-0.367241678,4.5
28,10,10,12.875,2.824668547,13,198,-0.450575011,4
29,10,10,1.666666667,-1.610235093,10,182,-1.367241678,2.5
29,10,10,7.95,1.050107595,14,182,2.960412928,8
29,12,12,14.36363636,1.818853253,13,182,-0.596408344,5.5
29,10,10,5.2,0.503653796,12,182,0.757758322,5.5
29,10,10,12.84615385,-0.454682727,12,182,0.216091656,6
29,12,12,2,2.094390647,12,182,0.549424989,6
29,11,11,1,-1.968702653,12,182,-0.283908344,5
29,11,11,10.13043478,2.824668547,13,182,-0.450575011,4
30,10,10,3,-0.270362465,10,188,-0.367241678,3.5
30,11,11,5.1,1.050107595,14,188,2.960412928,7
30,13,13,1.5,1.818853253,13,188,-0.596408344,4.5
30,11,11,3.315789474,0.503653796,12,188,0.757758322,NA
30,11,11,4.777777778,-0.454682727,12,188,0.216091656,5.5
30,10,10,7.947368421,-0.877893823,10,188,-0.200575011,4.25
30,10,10,4.285714286,-0.456261069,12,188,-0.429741678,4.5
30,10,10,3.9,-0.083449378,13,188,-0.117241678,5
30,12,12,1.333333333,-1.968702653,12,188,-0.283908344,6
30,13,13,2.5,-1.746544616,14,188,-0.367241678,5.5
30,12,12,11.69565217,2.824668547,13,188,-0.450575011,4
31,12,12,6.533333333,1.050107595,14,205,2.960412928,NA
31,12,12,5,0.503653796,12,205,0.757758322,5.5
31,12,12,4,-0.454682727,12,205,0.216091656,4.5
31,10,10,6.5,0.853671201,14,205,-0.204699106,6
31,11,11,8.357142857,-0.456261069,12,205,-0.429741678,5
31,11,11,3.666666667,-0.083449378,13,205,-0.117241678,5
31,14,14,1,-1.746544616,14,205,-0.367241678,4.5
31,13,13,1.777777778,2.824668547,13,205,-0.450575011,4
31,10,10,6,-0.355219403,14,205,-0.75830365,4.5
32,13,13,3.8,1.050107595,14,183,2.960412928,8.25
32,11,11,4,0.853671201,14,183,-0.204699106,5.5
32,12,12,5.090909091,-0.456261069,12,183,-0.429741678,5
32,12,12,2.375,-0.083449378,13,183,-0.117241678,5
32,10,10,2,-0.675116045,12,183,-3.992682927,NA
32,11,11,1.666666667,-0.355219403,14,183,-0.75830365,4.5
32,10,10,11.58823529,0.071302107,10,183,0.04169635,5.5
33,10,10,5.5,0.013686845,12,191,-0.117241678,5
33,14,14,6,1.050107595,14,191,2.960412928,8.5
33,11,11,3.375,-0.979854607,11,191,-0.242241678,4.5
33,12,12,2.5,0.853671201,14,191,-0.204699106,5
33,13,13,4.666666667,-0.083449378,13,191,-0.117241678,5.5
33,10,10,4.272727273,0.516550622,12,191,0.049424989,5
33,11,11,3.2,-0.675116045,12,191,-3.992682927,NA
33,12,12,9.666666667,-0.355219403,14,191,-0.75830365,4.5
34,11,11,19.10526316,0.013686845,12,178,-0.117241678,5
34,10,10,9.25,0.992903063,11,178,-0.746145649,4.5
34,10,10,7.933333333,1.836668649,11,178,0.216091656,4.5
34,10,10,14.96296296,1.236088829,11,178,-0.200575011,4
34,13,13,3.5,0.853671201,14,178,-0.204699106,4
34,11,11,7,0.516550622,12,178,0.049424989,5
34,12,12,2.5,-0.675116045,12,178,-3.992682927,NA
34,10,10,8.666666667,4.690321844,11,178,-0.45830365,3.5
34,13,13,4.833333333,-0.355219403,14,178,-0.75830365,3.5
35,12,12,16.75,0.013686845,12,179,-0.117241678,NA
35,11,11,8.8125,0.992903063,11,179,-0.746145649,NA
35,11,11,6.461538462,1.836668649,11,179,0.216091656,NA
35,11,11,14.06666667,1.236088829,11,179,-0.200575011,NA
35,14,14,1,0.853671201,14,179,-0.204699106,NA
35,12,12,2.571428571,0.516550622,12,179,0.049424989,NA
35,11,11,5,4.690321844,11,179,-0.45830365,NA
35,14,14,7.5,-0.355219403,14,179,-0.75830365,NA
